rodzaje_obiektow,obłożenie_%_2018,obłożenie_%_2019,obłożenie_%_2020,obłożenie_%_2021,obłożenie_%_2022
zakłady uzdrowiskowe,79.60,79.60,54.50,61.90,73.90
ośrodki kolonijne,51.40,49.30,32.50,53.50,46.60
hostele,47.40,46.90,30.70,36.00,46.40
hotele,43.20,44.10,26.00,31.60,43.20
obiekty hotelowe razem,40.80,41.70,25.50,30.70,41.30
ośrodki wczasowe,40.90,41.10,31.90,38.90,40.60
ogółem,40.10,40.60,26.80,32.30,40.40
pozostałe obiekty razem,39.20,39.10,28.70,34.60,39.10
inne obiekty hotelowe,32.70,33.50,24.60,27.60,34.60
schroniska,28.00,29.40,23.40,24.40,32.50
ośrodki szkoleniowo-wypoczynkowe,31.30,32.50,24.00,29.90,32.20
zespoły domków turystycznych,32.00,30.30,28.90,32.60,31.30
domy wycieczkowe,30.50,29.10,20.10,22.90,30.00
pensjonaty,31.00,30.90,22.30,25.20,28.90
pozostałe obiekty niesklasyfikowane,30.70,30.00,20.10,23.20,28.00
motele,25.50,25.40,16.10,19.60,27.40
pokoje gościnne,26.60,26.80,21.80,25.30,27.00
kempingi,27.70,27.30,24.50,26.50,26.60
domy pracy twórczej,28.30,26.80,17.30,22.60,25.80
schroniska młodzieżowe,31.00,31.00,16.80,16.30,25.40
pola biwakowe,17.30,17.30,17.10,19.60,24.10
szkolne schroniska młodzieżowe,21.00,19.30,12.00,14.60,19.20
kwatery agroturystyczne,15.30,15.70,14.20,17.30,16.70
