rodzaje_obiektow,obłożenie_%_2018,obłożenie_%_2022,wzrost/spadek (p.p.)
pola biwakowe,17.30,24.10,6.80
schroniska,28.00,32.50,4.50
inne obiekty hotelowe,32.70,34.60,1.90
motele,25.50,27.40,1.90
kwatery agroturystyczne,15.30,16.70,1.40
ośrodki szkoleniowo-wypoczynkowe,31.30,32.20,0.90
obiekty hotelowe razem,40.80,41.30,0.50
pokoje gościnne,26.60,27.00,0.40
ogółem,40.10,40.40,0.30
hotele,43.20,43.20,0.00
pozostałe obiekty razem,39.20,39.10,-0.10
ośrodki wczasowe,40.90,40.60,-0.30
domy wycieczkowe,30.50,30.00,-0.50
zespoły domków turystycznych,32.00,31.30,-0.70
hostele,47.40,46.40,-1.00
kempingi,27.70,26.60,-1.10
szkolne schroniska młodzieżowe,21.00,19.20,-1.80
pensjonaty,31.00,28.90,-2.10
domy pracy twórczej,28.30,25.80,-2.50
pozostałe obiekty niesklasyfikowane,30.70,28.00,-2.70
ośrodki kolonijne,51.40,46.60,-4.80
schroniska młodzieżowe,31.00,25.40,-5.60
zakłady uzdrowiskowe,79.60,73.90,-5.70
